openml_id,name,n_rows,prevalence,n_features_after_preprocessing
24,mushroom,8124,0.4820285573609059,111
31,credit-g,1000,0.3,68
38,sick,3772,0.0612407211028632,35
44,spambase,4601,0.3940447728754618,57
151,electricity,45312,0.5754546257062146,14
312,scene,2407,0.1790610718737017,299
821,house_16H,22784,0.2959971910112359,16
846,elevators,16599,0.3090547623350804,42
871,pollen,3848,0.5,5
1036,sylva_agnostic,14395,0.0615491490100729,216
1038,gina_agnostic,3468,0.4916378316032295,970
1043,ada_agnostic,4562,0.2481367821131082,58
1049,pc4,1458,0.1220850480109739,48
1050,pc3,1563,0.1023672424824056,54
1053,jm1,10885,0.1934772622875517,21
1067,kc1,2109,0.1545756282598387,31
1068,pc1,1109,0.0694319206492335,21
1116,musk,6598,0.1541376174598363,177
1120,MagicTelescope,19020,0.3516298633017876,10
1461,bank-marketing,45211,0.1169848045829554,46
1462,banknote-authentication,1372,0.4446064139941691,4
1471,eeg-eye-state,14980,0.4487983978638184,14
1485,madelon,2600,0.5,700
1486,nomao,34465,0.7143769041056144,289
1487,ozone-level-8hr,2534,0.0631412786108918,72
1489,phoneme,5404,0.2934863064396743,5
1502,skin-segmentation,245057,0.7924605295910747,3
1570,wilt,4839,0.0539367637941723,5
1590,adult,48842,0.7607182343065395,77
4135,Amazon_employee_access,32769,0.9421099209618848,99
4532,higgs,98050,0.5285772565017848,37
4534,PhishingWebsites,11055,0.5569425599276345,46
23517,numerai28.6,96320,0.5051702657807309,21
40536,SpeedDating,8378,0.1647171162568632,660
40701,churn,5000,0.1414,31
40978,Internet-Advertisements,3279,0.8600182982616651,1558
41142,christine,5418,0.5,1791
41143,jasmine,2984,0.5,154
41145,philippine,5832,0.5,308
41146,sylvine,5124,0.5,20
41150,MiniBooNE,130064,0.2806233854102595,50
41434,Click_prediction_small,39948,0.1684189446280164,75
45035,albert,58252,0.5,117
45072,airlines,539383,0.4454422923970537,43
