openml_id,name,run_type,prevalence,threshold_center,mean_train_size,n_runs,lr_nll_nb_raw,lr_snb_nb_raw,xgb_nll_nb_raw
31,credit-g,inverse,0.3,0.7,667.0,5,0.0055317595570188,-0.01128348977059182,0.00586508616406394
31,credit-g,prevalence,0.3,0.7,667.0,5,0.12957155595157246,0.13009174678889307,0.12617234934561722
44,spambase,inverse,0.3940447728754618,0.6059552271245382,508.0,5,0.2741123238574687,0.2788573610417999,0.3127837257169987
44,spambase,prevalence,0.3940447728754618,0.6059552271245382,508.0,5,0.32171364680256326,0.3183887279643646,0.3367982714336476
151,electricity,prevalence,0.5754546257062146,0.42454537429378536,472.0,5,0.2776691347510677,0.2693101012427451,0.3183725536236584
312,scene,inverse,0.1790610718737017,0.8209389281262983,1117.0,5,0.03300531243659524,-0.02077743061551866,0.14429094835898026
312,scene,prevalence,0.1790610718737017,0.8209389281262983,1117.0,5,0.13310021234746064,0.12868601390119908,0.16506715338621997
821,house_16H,inverse,0.2959971910112359,0.7040028089887641,676.0,5,0.029102229026804337,0.03473006494616046,0.11130407670633422
821,house_16H,prevalence,0.2959971910112359,0.7040028089887641,676.0,5,0.17744904234792058,0.18352671251973257,0.2095663685464581
846,elevators,inverse,0.3090547623350804,0.6909452376649197,648.0,5,0.1455657778932622,0.1370093143030388,0.09073094799741702
846,elevators,prevalence,0.3090547623350804,0.6909452376649197,648.0,5,0.20279820242454022,0.2003975484773874,0.16221408994016645
871,pollen,prevalence,0.5,0.5,400.0,5,0.00268225156023456,-0.0017624656425222,0.0071699936130053595
1036,sylva_agnostic,inverse,0.0615491490100729,0.9384508509899271,3250.0,5,0.02212497550332648,-0.02530505423253044,0.021047138448604
1036,sylva_agnostic,prevalence,0.0615491490100729,0.9384508509899271,3250.0,5,0.059977155871424534,0.05840850581678976,0.059994603489005836
1038,gina_agnostic,prevalence,0.4916378316032295,0.5083621683967705,407.0,5,0.324555229743445,0.324555229743445,0.3770404036094154
1043,ada_agnostic,inverse,0.2481367821131082,0.7518632178868918,807.0,5,0.033971264323865644,0.01093623650399716,0.03887298321944452
1043,ada_agnostic,prevalence,0.2481367821131082,0.7518632178868918,807.0,5,0.14555006857402164,0.1403591339350398,0.14582434299372413
1053,jm1,inverse,0.1934772622875517,0.8065227377124483,1034.0,5,-0.00270543622153826,-0.0030254044450607003,3.1312324783553554e-06
1053,jm1,prevalence,0.1934772622875517,0.8065227377124483,1034.0,5,0.055796481041152646,0.0556970993505745,0.05638083812490998
1067,kc1,inverse,0.1545756282598387,0.8454243717401613,1294.0,5,0.00469072035637702,0.0002543198186915001,-0.0036736927021707192
1067,kc1,prevalence,0.1545756282598387,0.8454243717401613,1294.0,5,0.06475167788448606,0.0648144640665569,0.0655793012061969
1116,musk,inverse,0.1541376174598363,0.8458623825401637,1298.0,5,0.0747619590372111,0.06313334389123884,0.09829381504836185
1116,musk,prevalence,0.1541376174598363,0.8458623825401637,1298.0,5,0.1385107793284322,0.1380933824651415,0.14115990890131244
1120,MagicTelescope,inverse,0.3516298633017876,0.6483701366982124,569.0,5,0.08820982791872847,0.10499051030949827,0.16195304112021336
1120,MagicTelescope,prevalence,0.3516298633017876,0.6483701366982124,569.0,5,0.18667221145493612,0.1874032006205648,0.2210044794901403
1461,bank-marketing,inverse,0.1169848045829554,0.8830151954170447,1710.0,5,-0.01944100436046328,-0.00968482734001406,-0.00394966376388072
